,Month,Age,Survival,Segment Rate (Annual),Discount Factor,PV of Payment
0,1,55.0594,0.9998741204654347,0.045,0.9962640099626402,5180.877016763046
1,2,55.1427,0.999697453798768,0.045,0.9925419775468396,5160.609328278473
2,3,55.226,0.9995207871321014,0.045,0.9888338506070633,5140.420766837674
3,4,55.3094,0.9993441204654346,0.045,0.9851395771925912,5120.3110240936785
4,5,55.3927,0.9991674537987679,0.045,0.9814591055467906,5100.279792899052
5,6,55.476,0.9989907871321013,0.045,0.9777923841063918,5080.326767301247
6,7,55.5594,0.9988141204654346,0.045,0.9741393615007641,5060.451642537943
7,8,55.6427,0.998637453798768,0.045,0.9704999865511971,5040.654115032437
8,9,55.726,0.9984607871321013,0.045,0.9668742082701839,5020.933882389036
9,10,55.8094,0.9982841204654346,0.045,0.9632619758607064,5001.290643388466
10,11,55.8927,0.998107453798768,0.045,0.9596632387155233,4981.724097983308
11,12,55.976,0.9979307871321013,0.045,0.9560779464164616,4962.233947293439
